period,close,eps,ret,periodend
2021-05-30,47877.8581131802,3644.86895800983,7.61456344081325,05-Jun-2021
2021-06-06,47423.4863119551,3586.03395322797,7.57311440757304,12-Jun-2021
2021-06-13,45868.7588397081,3456.92103418436,7.5473568331527,19-Jun-2021
2021-06-20,46040.4024887604,3437.99028780352,7.47451459296891,26-Jun-2021
2021-06-27,49310.012092858,3803.83564158313,7.71472558627308,03-Jul-2021
2021-07-04,49591.6224256853,4097.99340285615,8.27657031597083,10-Jul-2021
2021-07-11,47998.2561912927,4134.76055126044,8.62067842345894,17-Jul-2021
2021-07-18,46880.505081423,4329.81514813066,9.23931421105569,24-Jul-2021
2021-07-25,48385.1581607089,4255.73960334421,8.79782910025465,31-Jul-2021
2021-08-01,48260.9441772587,4206.7492394377,8.71730314637045,07-Aug-2021
2021-08-08,47387.541258349,4045.05970291614,8.53645803689052,14-Aug-2021
2021-08-15,49597.2725828357,4413.99203080904,8.90694271481388,21-Aug-2021
2021-08-22,48381.0890596699,4173.25267185445,8.62017564003171,28-Aug-2021
2021-08-29,46560.9242218004,3955.70778181287,8.49133327859573,04-Sep-2021
2021-09-05,46369.7145724396,4119.52680988195,8.88270015124983,11-Sep-2021
2021-09-12,47962.7763822052,3712.64517666673,7.76063767910743,18-Sep-2021
2021-09-19,43525.2149765183,3663.18851395483,8.41413101717297,25-Sep-2021
2021-09-26,45469.9537849701,3889.76944270373,8.55955692696305,02-Oct-2021
2021-10-03,45331.1641021603,3427.24398758046,7.5597118164251,09-Oct-2021
2021-10-10,46030.3072726161,3272.37359961976,7.11453204787505,16-Oct-2021
2021-10-17,45920.1091523882,3349.34765186677,7.28606657318148,23-Oct-2021
2021-10-24,46361.3541209852,3216.53453953896,6.95276933227425,30-Oct-2021
2021-10-31,45646.2677790815,3087.69466698964,6.77116515134069,06-Nov-2021
2021-11-07,45183.7223162482,2869.50953767828,6.34622342750704,13-Nov-2021
2021-11-14,45318.9933028615,2775.89561862712,6.12310453852406,20-Nov-2021
2021-11-21,46337.5621164774,2611.73746143149,5.64226557765569,27-Nov-2021
2021-11-28,46285.8443841753,2415.49613078873,5.21786449204729,04-Dec-2021
2021-12-05,47254.6609737087,2465.7332629955,5.23089648413056,11-Dec-2021
2021-12-12,46526.3501652995,2331.20443510044,5.00853428360456,18-Dec-2021
2021-12-19,49203.087979025,2295.59668774067,4.6587921249522,25-Dec-2021
2021-12-26,47628.9249298166,2073.53299180024,4.35538240433012,01-Jan-2022
2022-01-02,45858.9344521786,2836.70674340032,6.18367898699177,08-Jan-2022
2022-01-09,44718.84463375,2637.72373228832,5.89883653721502,15-Jan-2022
2022-01-16,43677.4287740194,3033.13583731084,6.95101294291785,22-Jan-2022
2022-01-23,44899.7479053684,3027.1142041173,6.74283319313546,29-Jan-2022
2022-01-30,NaN,NaN,NaN,05-Feb-2022
2022-02-06,45887.8905897158,3111.21120895436,6.78178429107753,12-Feb-2022
2022-02-13,46295.6915934531,3398.56478995968,7.34493373475165,19-Feb-2022
2022-02-20,46686.2292525494,3430.35300645229,7.34375587717737,26-Feb-2022
2022-02-27,46982.9524898045,3985.67070905058,8.47562276434576,05-Mar-2022
2022-03-06,47271.4728275247,3900.17629040655,8.25174942985761,12-Mar-2022
2022-03-13,47283.1191913696,3851.53360034923,8.16026577065615,19-Mar-2022
2022-03-20,50561.5791298799,3807.29144502374,7.53193585377652,26-Mar-2022
2022-03-27,51775.7581385651,3888.24224983187,7.51291156369737,02-Apr-2022
2022-04-03,50848.7080924887,3921.73822205937,7.70830025832034,09-Apr-2022
2022-04-10,54261.2004705667,4621.3474537402,8.47954494637068,16-Apr-2022
2022-04-17,53368.4875450422,4895.88822166508,9.15005911155886,23-Apr-2022
2022-04-24,50053.4630991109,4731.50497477415,9.4573867763172,30-Apr-2022
2022-05-01,48064.7803800745,4588.75832618011,9.55046913585534,07-May-2022
2022-05-08,45563.3002442229,4673.95197423297,10.2797774824579,14-May-2022
2022-05-15,41390.7038353093,4572.12758697143,11.0558198387387,21-May-2022
2022-05-22,43794.327222872,4632.6939027426,10.6051248380962,28-May-2022
2022-05-29,47471.6307621684,4601.09592078649,9.6856233058688,04-Jun-2022
2022-06-05,46801.8569832644,4523.11170187369,9.66365331103297,11-Jun-2022
2022-06-12,43005.4422953377,4376.5939760368,10.1817302820951,18-Jun-2022
2022-06-19,40587.3205176896,4283.01588376894,10.5452479687896,25-Jun-2022
2022-06-26,38998.444659731,3999.3206764188,10.2458614186408,02-Jul-2022
2022-07-03,36415.6578489106,3758.79206397922,10.3203873007015,09-Jul-2022
2022-07-10,32814.4542416677,3183.50739728765,9.69992000036602,16-Jul-2022
2022-07-17,34813.4147229476,3348.68122972552,9.62022635473984,23-Jul-2022
2022-07-24,34947.2808363733,3516.01364813961,10.0454181024104,30-Jul-2022
2022-07-31,34710.515887218,3084.61298199552,8.88226336996194,06-Aug-2022
2022-08-07,35190.6100783863,3038.6444876939,8.62944742711629,13-Aug-2022
2022-08-14,36843.2636801279,3090.50281673606,8.39666171171016,20-Aug-2022
2022-08-21,37586.1653057013,3329.71757957553,8.84173639322725,27-Aug-2022
2022-08-28,39565.2294036204,3916.08512964539,9.90226886561593,03-Sep-2022
2022-09-04,37261.3604803948,3622.28625084956,9.7196923945285,10-Sep-2022
2022-09-11,39160.7699736624,3632.63258623444,9.28311947373798,17-Sep-2022
2022-09-18,35652.6108893098,3474.07853526789,9.74622828907259,24-Sep-2022
2022-09-25,34145.1086049074,3601.21280812361,10.5454393537352,01-Oct-2022
2022-10-02,31400.0560911807,2738.31731367077,8.73640832770178,08-Oct-2022
2022-10-09,31554.3883676714,2947.23509823604,9.3566933808792,15-Oct-2022
2022-10-16,32977.3343217658,2840.99014145893,8.61631455223372,22-Oct-2022
2022-10-23,29424.7626442675,2908.14032617277,9.88063523027767,29-Oct-2022
2022-10-30,28388.6381095906,2742.36711007537,9.65756913009073,05-Nov-2022
2022-11-06,26674.0553266132,2845.59237489475,10.7006878712032,12-Nov-2022
2022-11-13,25425.207534657,2840.1223392142,11.1749936236687,19-Nov-2022
2022-11-20,24515.7947019155,2507.34972749819,10.2142493917633,26-Nov-2022
2022-11-27,25033.9409405272,2486.42470570559,9.94206982887102,03-Dec-2022
2022-12-04,25230.1615584544,2338.20825731289,9.28045043678872,10-Dec-2022
2022-12-11,26338.8463515364,2300.38312374434,8.75604077261853,17-Dec-2022
2022-12-18,24106.228825737,2014.74247287343,8.37244959748178,24-Dec-2022
